Country,GDP_per_Capita,count(*)
Afghanistan,594.32308122,2
Algeria,4206.03123245,13
Argentina,13431.8783399,173
Armenia,3489.12768957,11
Australia,56310.9629934,826
Austria,43774.9851736,25
Azerbaijan,5496.34464026,26
Bahamas,22817.2308573,23
Bahrain,22600.2140981,1
Barbados,15429.3404641,1
Belarus,5740.4564948,113
Belgium,40324.0277657,29
Botswana,6360.13822019,1
Brazil,8538.58997496,328
Bulgaria,6993.47735976,116
Burundi,277.068309171,1
Cameroon,1217.26067048,21
Canada,43248.5299093,255
Chile,13416.230039,24
China,8027.68381014,731
Colombia,6056.1477172,15
Costa Rica,11260.0921599,4
Croatia,11535.8293559,114
Cuba,,320
Cyprus,23242.8400685,1
Czech Republic,17548.338213,56
Denmark,51989.2934712,133
Djibouti,1945.1242931,1
Dominican Republic,6468.47349154,5
Ecuador,6205.0641453,2
Egypt,3614.74676616,10
Eritrea,,1
Estonia,17118.5042003,14
Ethiopia,619.169406476,35
Finland,42311.0362306,32
France,36205.5681017,414
Gabon,8266.44560506,1
Georgia,3795.97330845,25
Germany,41313.3139945,785
Ghana,1369.70112228,13
Greece,18002.2305777,70
Grenada,9212.02035173,1
Guatemala,3903.47885605,1
Hong Kong*,42327.839957,4
Hungary,12363.5434597,278
Iceland,50173.3399156,15
India,1598.25903422,12
Indonesia,3346.48703949,38
Iran,,32
Ireland,61133.6724273,16
Israel,35728.0934952,7
Italy,29957.8043154,423
Jamaica,5232.02458271,103
Japan,32477.2151449,382
Kazakhstan,10509.9810699,49
Kenya,1376.71282895,65
"Korea, North",,36
"Korea, South",27221.524051,458
Kuwait,29300.575575,2
Kyrgyzstan,1103.21535152,3
Latvia,13648.5475565,17
Lithuania,14147.0493792,55
Macedonia,4852.65784767,1
Malaysia,9768.32686012,8
Mauritius,9252.11072429,1
Mexico,9005.02426498,44
Moldova,1848.0618043,6
Mongolia,3967.82938559,14
Morocco,2878.20134216,19
Mozambique,529.242556069,2
Namibia,4673.56724769,4
Netherlands,44299.7680854,436
Netherlands Antilles*,,1
New Zealand,37807.967276,98
Nigeria,2640.29073886,77
Norway,74400.3697771,161
Pakistan,1434.69666505,17
Panama,13268.1137549,1
Paraguay,4080.95144785,17
Peru,6027.1258553,13
Philippines,2904.20208192,3
Poland,12554.5475536,152
Portugal,19222.1500764,13
Puerto Rico*,,4
Qatar,73653.3944347,4
Russia,9092.58053607,768
Saudi Arabia,20481.745322,6
Senegal,899.579879485,1
Serbia,5235.14220697,14
Singapore,52888.7446718,3
Slovakia,16088.2775873,34
Slovenia,20726.5398864,26
South Africa,5723.9733569,33
Spain,25831.5823053,344
Sri Lanka,3926.17439589,1
Sudan,2414.72360103,1
Suriname,9485.31924429,2
Sweden,50579.6736487,156
Switzerland,80945.0792195,56
Syria,,2
Taiwan,,41
Tajikistan,925.911887671,3
Thailand,5814.76976382,23
Togo,559.635876662,1
Tonga,4098.54392926,1
Trinidad and Tobago,17321.8846751,10
Tunisia,3872.51208364,5
Turkey,9125.68758973,41
Uganda,705.292569535,2
Ukraine,2114.95471628,173
United Arab Emirates,40438.7629344,1
United Kingdom,43875.9696144,444
United States,56115.7184262,1754
Uruguay,15573.9009192,1
Uzbekistan,2132.07036848,20
Venezuela,,4
Vietnam,2111.13802367,2
Virgin Islands*,,1
Zambia,1304.87901448,1
Zimbabwe,924.143819253,7
