Country,GDP_per_Capita,Medals
Afghanistan,594.323081219966,2
Algeria,4206.03123244958,13
Argentina,13431.8783398577,26
Armenia,3489.12768956995,11
Australia,56310.9629933721,254
Austria,43774.985173612,19
Azerbaijan,5496.34464026248,26
Bahamas,22817.2308572518,9
Bahrain,22600.2140981035,1
Barbados,15429.3404640853,1
Belarus,5740.45649479562,74
Belgium,40324.0277657215,24
Botswana,6360.13822018837,1
Brazil,8538.5899749574,77
Bulgaria,6993.47735975728,96
Burundi,277.068309170914,1
Cameroon,1217.26067048427,4
Canada,43248.529909341,106
Chile,13416.2300390185,6
China,8027.68381013907,377
Colombia,6056.14771720405,15
Costa Rica,11260.0921598775,4
Croatia,11535.8293558997,23
Cuba,,150
Cyprus,23242.8400685313,1
Czech Republic,17548.3382129701,44
Denmark,51989.2934712354,45
Djibouti,1945.12429310444,1
Dominican Republic,6468.4734915433,5
Ecuador,6205.06414529951,2
Egypt,3614.74676616271,10
Eritrea,,1
Estonia,17118.5042003236,12
Ethiopia,619.169406475891,31
Finland,42311.0362306446,26
France,36205.5681017036,227
Gabon,8266.4456050624,1
Georgia,3795.97330845042,25
Germany,41313.3139945434,317
Ghana,1369.70112227585,1
Greece,18002.2305776688,46
Grenada,9212.02035173484,1
Guatemala,3903.47885604613,1
Hong Kong*,42327.8399570345,3
Hungary,12363.5434596539,132
Iceland,50173.3399156473,2
India,1598.25903421916,12
Indonesia,3346.48703949478,27
Iran,,32
Ireland,61133.672427322,16
Israel,35728.0934951515,7
Italy,29957.8043154372,185
Jamaica,5232.02458271187,44
Japan,32477.2151449234,165
Kazakhstan,10509.9810699442,49
Kenya,1376.71282894881,60
"Korea, North",,35
"Korea, South",27221.5240509661,189
Kuwait,29300.5755750333,2
Kyrgyzstan,1103.2153515202,3
Latvia,13648.5475564772,16
Lithuania,14147.0493792403,21
Macedonia,4852.6578476699,1
Malaysia,9768.32686011881,6
Mauritius,9252.11072429051,1
Mexico,9005.02426497766,23
Moldova,1848.06180430428,5
Mongolia,3967.82938559498,14
Morocco,2878.20134215919,19
Mozambique,529.242556068943,2
Namibia,4673.56724769495,4
Netherlands,44299.768085383,121
Netherlands Antilles*,,1
New Zealand,37807.9672760442,59
Nigeria,2640.2907388575,19
Norway,74400.3697770928,48
Pakistan,1434.69666504969,2
Panama,13268.1137549335,1
Paraguay,4080.95144785437,1
Peru,6027.12585529551,2
Philippines,2904.20208191528,3
Poland,12554.5475536313,94
Portugal,19222.1500764153,11
Puerto Rico*,,4
Qatar,73653.3944346574,4
Russia,9092.58053606884,367
Saudi Arabia,20481.7453220484,3
Senegal,899.579879484977,1
Serbia,5235.14220696525,2
Singapore,52888.7446717529,1
Slovakia,16088.2775872723,24
Slovenia,20726.5398863708,19
South Africa,5723.97335690212,25
Spain,25831.5823052954,106
Sri Lanka,3926.17439589454,1
Sudan,2414.72360102858,1
Suriname,9485.31924429496,2
Sweden,50579.6736486777,61
Switzerland,80945.0792194742,36
Syria,,2
Taiwan,,18
Tajikistan,925.91188767081,3
Thailand,5814.76976382355,23
Togo,559.635876661945,1
Tonga,4098.54392925825,1
Trinidad and Tobago,17321.884675056,7
Tunisia,3872.51208364171,5
Turkey,9125.68758972936,40
Uganda,705.292569535068,2
Ukraine,2114.95471628444,114
United Arab Emirates,40438.7629344394,1
United Kingdom,43875.9696143686,219
United States,56115.7184261955,634
Uruguay,15573.9009191818,1
Uzbekistan,2132.07036847857,20
Venezuela,,4
Vietnam,2111.13802366815,2
Virgin Islands*,,1
Zambia,1304.87901447726,1
Zimbabwe,924.143819253412,7
